Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time,Model
sweden,1922,1981,Male,100,1,7,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,8,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,8,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,8,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,9,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,1,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,2,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,3,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,4,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,5,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,6,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,7,351.11894571489114,09/03/2023,17:03:24,saturated
