country,first_year_train,last_year_train,sex,max_age,num_basis,tau,latent_dim,forecast_horizon,log_score,date,time,model
sweden,1934,1993,Male,100,10,10.0,4,8,491.362317935432,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,9,493.5561500925093,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,10,494.17095345069276,15/03/2023,18:35:42,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,1,424.45091585271507,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,2,456.62505395962256,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,3,441.9625021451208,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,4,450.80590225114645,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,5,460.8288603362872,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,6,462.5719205612703,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,7,467.6962898064334,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,8,487.60281362165557,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,9,497.68511194684174,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,10,10.0,5,10,498.3954851865573,15/03/2023,20:36:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,1,417.8164911572128,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,2,448.9069078411418,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,3,430.91034831051593,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,4,444.24169374405494,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,5,455.10287908294373,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,6,457.09070120568686,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,7,464.02400975933466,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,8,488.25583814667135,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,9,494.1034631653566,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,4,10,495.5547809588538,15/03/2023,20:39:19,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,1,440.37741178103823,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,2,446.46066738428556,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,3,440.5951746704429,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,4,458.9469687263643,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,5,472.6221735194602,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,6,472.40647148216885,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,7,475.34953309789375,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,8,500.60756023604523,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,9,507.9173408024556,15/03/2023,20:43:04,radial_basis
sweden,1933,1992,Male,100,15,10.0,5,10,517.2605454827428,15/03/2023,20:43:04,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,1,449.4976348485348,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,2,440.7771356890986,15/03/2023,23:08:26,radial_basis
