country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1932,1991,Male,100,1,8,4,456.46055492785996,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,5,472.3452125196917,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,6,486.60009073445866,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,7,488.22534506880413,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,8,493.3657929783235,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,9,510.38385219023826,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,10,514.238655618517,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,7,1,416.74401546847935,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,2,431.58893834100104,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,3,451.3212941947847,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,4,456.7357433763988,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,5,475.61007759330863,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,6,487.0220116801863,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,7,490.2519054010062,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,8,499.01695468828484,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,9,518.3588724369082,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,7,10,527.7475669870233,05/02/2023,22:05:41
sweden,1932,1991,Male,100,1,9,1,418.1841140874019,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,2,433.1838714833294,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,3,450.3088433158323,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,4,452.9992814768621,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,5,471.9930118100752,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,6,483.2174658335447,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,7,485.84757439529307,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,8,491.8408074675387,05/02/2023,22:08:47
sweden,1932,1991,Male,100,1,9,9,508.3748547800053,05/02/2023,22:08:47
