Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1941,2000,Male,100,0,0,8,-624.6911745454123,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,9,-694.437717463286,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,10,-646.1304759609254,03/03/2023,16:03:09
sweden,1942,2001,Male,100,0,0,1,-567.6564530292576,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,2,-532.5145714371662,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,3,-564.8513292070602,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,4,-571.8654964350935,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,5,-575.8368966308357,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,6,-601.5800295443727,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,7,-610.9898187109927,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,8,-683.7117332646699,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,9,-631.7942776176764,03/04/2023,16:04:13
sweden,1942,2001,Male,100,0,0,10,-654.4400949444217,03/04/2023,16:04:13
sweden,1943,2002,Male,100,0,0,1,-521.369814595419,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,2,-546.4080552519197,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,3,-550.1008677734611,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,4,-554.5254409646955,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,5,-571.626646098606,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,6,-582.498684191256,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,7,-655.3243691480976,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,8,-606.3283585790548,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,9,-631.648911689247,03/05/2023,16:05:19
sweden,1943,2002,Male,100,0,0,10,-648.876028429802,03/05/2023,16:05:19
sweden,1944,2003,Male,100,0,0,1,-525.1967967784883,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,2,-528.4725308894992,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,3,-531.9950305554314,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,4,-548.1445596516281,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,5,-555.1187501428674,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,6,-627.0527811224275,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,7,-575.9340753448228,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,8,-594.4503068678764,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,9,-610.9792420103539,03/06/2023,16:06:24
sweden,1944,2003,Male,100,0,0,10,-636.4789883212827,03/06/2023,16:06:24
sweden,1945,2004,Male,100,0,0,1,-513.5327396579916,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,2,-501.4913427844952,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,3,-497.3110958873803,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,4,-500.9333182203298,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,5,-569.0173770130536,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,6,-513.6496184055942,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,7,-524.1822558136024,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,8,-548.7315028818049,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,9,-562.1383263559287,03/07/2023,16:07:31
sweden,1945,2004,Male,100,0,0,10,-570.7976880678503,03/07/2023,16:07:31
sweden,1946,2005,Male,100,0,0,1,-479.08192458123114,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,2,-473.50952915754516,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,3,-479.01973132774447,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,4,-544.8208104571041,03/08/2023,16:08:36
