country,first_year_train,last_year_train,sex,max_age,forecast_horizon,log_score,date,time,model
sweden,1952,2011,Male,100,7,-478.7316540642101,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,8,-518.3211900992893,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,9,-488.63626314915547,02/35/2023,16:35:12,LC
sweden,1952,2011,Male,100,10,-486.0265504397784,02/35/2023,16:35:12,LC
sweden,1931,1990,Male,100,1,-426.0368080618507,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,2,-421.7151610867832,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,3,-429.1946691477062,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,4,-450.26847313239574,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,5,-454.63844836235745,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,6,-470.7028869795444,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,7,-481.8439221389088,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,8,-492.82465381938664,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,9,-489.4309984611919,02/08/2023,17:08:48,PLAT
sweden,1931,1990,Male,100,10,-529.3192080969146,02/08/2023,17:08:48,PLAT
sweden,1932,1991,Male,100,1,-414.8186002756825,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,2,-425.4763874088171,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,3,-450.4377108857959,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,4,-453.8554259701249,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,5,-472.5728481971392,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,6,-485.05297687393727,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,7,-498.6310932752423,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,8,-495.02679016464384,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,9,-538.0203078751564,02/10/2023,17:10:16,PLAT
sweden,1932,1991,Male,100,10,-531.7413143153623,02/10/2023,17:10:16,PLAT
sweden,1933,1992,Male,100,1,-411.7353173429122,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,2,-432.777588847003,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,3,-432.7384320329509,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,4,-447.4852507738544,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,5,-461.91000617638673,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,6,-479.5933123160257,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,7,-476.36520926691134,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,8,-521.0273786047138,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,9,-517.1212538492504,02/11/2023,17:11:44,PLAT
sweden,1933,1992,Male,100,10,-538.1668693457715,02/11/2023,17:11:44,PLAT
sweden,1934,1993,Male,100,1,-440.49716170378997,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,2,-432.303548145292,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,3,-443.46182119192713,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,4,-457.30607062053764,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,5,-468.0064363273416,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,6,-466.6974323420967,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,7,-509.8798561273814,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,8,-506.70437185207624,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,9,-523.797203839211,02/13/2023,17:13:11,PLAT
sweden,1934,1993,Male,100,10,-503.00658460825537,02/13/2023,17:13:11,PLAT
sweden,1935,1994,Male,100,1,-420.6953123219599,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,2,-429.5785422214842,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,3,-442.70122736303387,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,4,-455.8548242978464,02/14/2023,17:14:39,PLAT
